search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
U district apartments,/watch?v=by9CW93SXmk&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Thirty-One Apartments | Seattle U District | Tripalink,167,1 year,"Thirty-One Apartments, with 31 units, check out the apartment website for special offers: ...",2026-01-22 03:23:32.575113
U district apartments,/watch?v=-4v5poK9eGs&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@stanphiliprichards3684,Stan Philip Richards,Micro Studios at Ivy Ridge Apartments in the University District,93,4 years,"A quick walkabout of B301, a Micro Studio at Ivy Ridge Apartments.",2026-01-22 03:23:32.576365
U district apartments,/watch?v=OuYuTCaoags&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,The Stax Apartments | Seattle U District | Tripalink,304,1 year,"The Stax Apartments, with 60 units, check out the apartment website for special offers: ...",2026-01-22 03:23:32.577656
U district apartments,/watch?v=NiwkXGLam4Q&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz0gcJCYcKAYcqIYzv,/@tripalink.official,Tripalink,Fifty Two Apartments | Seattle U District | Tripalink,277,1 year,"Fifty Two Apartments, with 52 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.963615
U district apartments,/watch?v=5QX5KrOYTG0&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Sora Apartments | Seattle U District | Tripalink,272,1 year,"Sora Apartments, with 54 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.967614
U district apartments,/watch?v=kWzaiB6_zrA&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Greta Apartments | Seattle U District | Tripalink,150,1 year,"Greta Apartments, with 33 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.970626
U district apartments,/watch?v=vOU2nSE-wME&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,U Place Apartments | Seattle U District | Tripalink,477,1 year,"U Place Apartments, with 243 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.971967
U district apartments,/watch?v=iCWG3jJcIJQ&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@americancampussocialmedia2277,American Campus,Twelve at U District | Community Tour,239,5 months,"TWELVE at U District is a modern, green living community in the heart of the University District featuring spacious studio, 1 and 2 ...",2026-01-22 03:23:38.973294
U district apartments,/watch?v=fxe9H2m1qOQ&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Coda Apartments | Seattle U District | Tripalink,77,1 year,"Coda Apartments, with 19 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.974871
U district apartments,/watch?v=erTMDdvHOnM&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@azhangatang,azhangatang,U-DISTRICT HOUSING SEATTLE: THE ACCOLADE MOVE-IN,1K,3 years,"Better late than never. With the help of my friend Maxwell, I moved into my new apartment for the school year at the University of ...",2026-01-22 03:23:38.978073
U district apartments,/watch?v=T4AXNG4z96Y&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,MontClair Apartments | Seattle U District | Tripalink,240,1 year,"MontClair Apartments, with 66 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.979378
U district apartments,/watch?v=9oZ4yEhzDSE&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@apodments93,aPodments,U-District Seattle Living | aPodments,4K,4 years,Welcome to aPodments in U-District Seattle! Our aPodment suites are nestled between Seattle's bustling University District and ...,2026-01-22 03:23:38.982036
U district apartments,/watch?v=oqsEOdpBQR0&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz0gcJCYcKAYcqIYzv,/@staywithamber,Stay With Amber ,"Property Tour | Twelve at U District, Seattle | Student Accommodation in USA | amber",113,1 year,"Situated in the neighborhood of U District, Twelve at U District on 4535 12th Ave NE Seattle, WA 98105, USA is an ideal choice for ...",2026-01-22 03:23:38.983944
U district apartments,/watch?v=08P9hZDkJJQ&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Clara Apartments | Seattle U District | Tripalink,254,1 year,"Clara Apartments, with 78 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.987009
U district apartments,/watch?v=1qqNjL0ni7M&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Sophie Studios Apartments | Seattle U District | Tripalink,175,1 year,"Sophie Studios Apartments, with 41 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.988691
U district apartments,/watch?v=zPz3Urgb9EM&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Aubrey Studios Apartments | Seattle U District | Tripalink,203,1 year,"Aubrey Studios Apartments, with 39 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.990693
U district apartments,/watch?v=8Yw0iLujyvc&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@tripalink.official,Tripalink,Cantor Studios Apartments | Seattle U District | Tripalink,105,1 year,"Cantor Studios Apartments, with 40 units, check out the apartment website for special offers: ...",2026-01-22 03:23:38.992058
U district apartments,/watch?v=e7sAVkJw2aY&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@UDRApartments,UDR Apartments,Lightbox | Seattle Apartments,520,6 years,Lightbox luxury apartments in the U-District offer modern apartments for rent in a desirable Seattle neighborhood.,2026-01-22 03:23:38.994460
U district apartments,/watch?v=g63oak6dccs&pp=ygUVVSBkaXN0cmljdCBhcGFydG1lbnRz,/@americancampuscommunities,American Campus Communities,Hub at U District | Community Tour,34K,1 year,"Going to college at UW is extraordinary - live accordingly at Hub U District Seattle! Walk-to-class convenience, tools that help you ...",2026-01-22 03:23:38.995780
