search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
uw seattle dorm tour,/watch?v=dZcM0cT9Nvw&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: West Campus Residence Halls,85K,7 years,"UW campus tour guide Jackie shows off west campus residence hall attractions, including spaces in and around Maple, Alder and ...",2026-01-22 03:21:44.571437
uw seattle dorm tour,/watch?v=Dznf25Lwbp0&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@chloeiewis,Chloe Lewis,COLLEGE DORM TOUR 💜💛 (my freshman year in a UW double dorm),1.2K,1 year,UW seattle dorm tour!!! this year i'm living on the west campus in a double room with a private bath - i only showed my side and ...,2026-01-22 03:21:44.572869
uw seattle dorm tour,/watch?v=fOXIrMIPeaI&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@priyachristensen1812,Priya Christensen,UW Seattle McMahon Hall Dorm Tour (Full Cluster Tour!) 2022,16K,3 years,Full McMahon Hall Cluster Tour at the University of Washington. Come along with the 9th floor girls as we tour you around our ...,2026-01-22 03:21:44.574422
uw seattle dorm tour,/watch?v=hcTvZ3cuwBs&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@fionaluna6870,Fiona Luna,University of Washington Dorm Tour,11K,5 years,Hi! My name is Fiona and I am a 21-year-old nursing student at the University of Washington. This is a video is a tour of my dorm ...,2026-01-22 03:21:44.576082
uw seattle dorm tour,/watch?v=cnn4MZZ5H_A&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@idkpayton,payton!,a day in the life of a university of washington student 💜 | mcmahon hall dorm tour!,26K,1 year,big thank you to quinlan for taking me along with him to uni for the day and emberlee for showing me her dorm in mcmahon hall!!,2026-01-22 03:21:44.578063
uw seattle dorm tour,/watch?v=HQ2BiY1FqCA&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,#HuskyHome | UW Residential Housing Tour,92K,6 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2026-01-22 03:21:44.579654
uw seattle dorm tour,/watch?v=grV2rONv_fY&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@surabhisyt,surabhi,COLLEGE DORM MOVE IN VLOG @ university of washington *freshman year*,7.6K,1 year,"hey guys! so sorry for how delayed this video is, i've been really busy with college however, i still wanted to share it with you ...",2026-01-22 03:21:44.580907
uw seattle dorm tour,/watch?v=Za45a8O9zyk&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@rileyjosephpierce,riley pierce,freshman dorm tour @ university of washington,7K,2 years,i'm so excited to be living on campus and attending uw! I've had so much fun and I hope you enjoy this tour of my freshman year ...,2026-01-22 03:21:44.582292
uw seattle dorm tour,/watch?v=6aViIvbNYmE&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@enochkwong980,Enoch Kwong,"University of Washington Dorm tour 2024 (Dimensions + Models!) Maple, Elm, Lander, Willow, etc.",24K,3 years,Filmed 2022 link to the RAW tour: https://youtu.be/upGvYaa-6SY Model files: https://www.thingiverse.com/thing:5441912 Took this ...,2026-01-22 03:21:44.583583
uw seattle dorm tour,/watch?v=H_3ENKlo6oo&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@kennakwok.,Kenna Kwok,DORM TOUR 2021 - UNIVERSITY OF WASHINGTON (Lander Hall),56K,4 years,MY OFFICIAL DORM ROOM TOUR! I hope you guys enjoy it and maybe get some inspiration! Shoutout to Clarice for filming too!,2026-01-22 03:21:44.585396
uw seattle dorm tour,/watch?v=A03zS8VsTQU&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@Sincerelylaure,Sincerelylaure,COLLEGE DORM TOUR 2020 | University of Washington (freshman year),43K,5 years,"hi here's my long-awaited dorm tour!! thank you so much for watching, cya in my next video. i hope you all have an amazing day ...",2026-01-22 03:21:44.587919
uw seattle dorm tour,/watch?v=7Z1y6F4FJW4&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@nancyhe,Nancy He 何南希,💗dorm room tour💗| university of washington,19K,2 years,dormtour #universityofwashington #seattle The long-awaited University of Washington dorm tour is finally here!! Sorry for the wait ...,2026-01-22 03:21:44.590777
uw seattle dorm tour,/watch?v=JLafA9i1cJE&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@nancyhe,Nancy He 何南希,COLLEGE MOVE IN DAY | University of Washington (freshman),29K,3 years,"collegemovein #movingout #dormroom #universityofwashington The video you've all been waiting for! In this video, I moved into a ...",2026-01-22 03:21:44.592039
uw seattle dorm tour,/watch?v=ZQJ2oaDMfLs&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,"UW HFS | Triple Room, Private Bath 360° Tour",43K,6 years,Move your phone or click and drag your mouse left/right/up/down on the video to view the room in 360°. The second half of the ...,2026-01-22 03:21:44.593305
uw seattle dorm tour,/watch?v=WzJc75S-LzY&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,146K,10 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2026-01-22 03:21:44.595289
uw seattle dorm tour,/watch?v=HmKKy0zD-uw&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,467K,5 years,Take a peek inside the MAGICAL college campus of the University of Washington in Seattle! Give Feedback On Campus Crawl ...,2026-01-22 03:21:44.597632
uw seattle dorm tour,/watch?v=pu2ivgeyrBU&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@rileyjosephpierce,riley pierce,(6 months later) freshman dorm tour @ university of washington,1.5K,1 year,thank you so much for watching my spring dorm tour! i hope this video answered any questions or wonderings you had regarding ...,2026-01-22 03:21:44.599532
uw seattle dorm tour,/watch?v=XLeU-OUZhI8&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Maple Hall Virtual Tour,61K,10 years,"Maple Hall, located in West Campus, features spacious rooms with configurable furniture, plenty of windows to let in natural light, ...",2026-01-22 03:21:44.600958
uw seattle dorm tour,/watch?v=3SVtTKOEaA8&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | Lander Hall Virtual Tour,60K,10 years,Learn more about Lander Hall: http://bit.ly/UWLanderHall To learn more about University of Washington's Housing & Food ...,2026-01-22 03:21:44.602310
uw seattle dorm tour,/watch?v=pUxcyyA7ta0&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@UWHFS,UWHFS,UW HFS | McCarty Hall Virtual Tour,48K,7 years,For more information on McCarty Hall visit our website here: http://bit.ly/UWMcCartyHall Make sure you like and subscribe for ...,2026-01-22 03:21:52.771514
uw seattle dorm tour,/watch?v=klDLZ6mAS1k&pp=ygUUdXcgc2VhdHRsZSBkb3JtIHRvdXI%3D,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,71K,3 years,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2026-01-22 03:21:52.777590
